Life expectancy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,54.73,54.83,55.54,56.5,57.14,57.63,58.0,58.5,59.18,59.9,60.46,61.02,61.43,61.93,61.93,61.91,62.03,62.9,62.73,63.33,63.39,63.98,64.3
Albania,75.39,76.02,75.93,75.62,75.77,76.2,76.9,77.5,77.57,77.97,78.13,78.13,78.22,78.28,78.21,78.14,78.23,78.33,78.44,78.5,77.9,78.73,78.84
Algeria,70.96,71.35,71.76,72.0,72.57,72.94,73.26,73.56,73.88,74.16,74.48,74.69,74.93,75.12,75.27,75.44,75.71,75.92,76.02,76.2,76.2,76.56,76.74
Andorra,80.76,80.92,81.09,81.22,81.26,81.4,81.49,81.66,81.75,81.78,81.85,81.91,81.94,81.95,81.97,82.01,82.06,82.11,82.14,82.19,,,
Angola,52.78,53.44,54.48,55.09,55.53,56.35,56.96,57.95,58.76,59.49,60.21,60.84,61.44,62.13,63.01,63.52,63.87,64.24,64.63,65.08,65.2,65.78,66.11
Antigua and Barbuda,74.83,75.09,75.36,75.6,75.72,75.9,75.89,75.08,75.19,75.84,75.92,75.95,76.02,76.11,75.97,75.97,76.02,76.09,76.21,76.29,76.25,76.55,76.67
Argentina,74.22,74.33,74.28,74.43,74.92,75.28,75.41,75.32,75.68,75.85,75.94,76.04,76.17,76.27,76.47,76.5,76.24,76.28,76.48,76.58,74.61,76.87,77.01
Armenia,72.38,72.5,72.71,72.78,72.99,73.05,73.1,73.45,73.46,73.64,73.91,74.2,74.57,75.06,75.19,75.11,75.26,75.54,75.63,75.73,73.99,76.01,76.14
Australia,79.72,80.06,80.27,80.59,80.92,81.24,81.48,81.55,81.65,81.87,82.12,82.28,82.56,82.71,82.72,82.73,82.95,83.0,82.9,82.89,82.91,83.19,83.32
Austria,78.49,78.86,79.02,79.14,79.49,79.75,80.11,80.29,80.5,80.55,80.79,81.0,81.15,81.33,81.51,81.57,81.78,82.0,82.12,82.16,81.47,82.44,82.59
Azerbaijan,66.55,67.06,67.18,67.11,67.21,67.31,67.74,68.23,68.46,68.76,68.98,69.24,69.5,69.74,69.93,70.15,70.3,70.43,70.77,71.0,70.37,71.21,71.3
Bahamas,71.25,71.26,71.9,72.41,72.42,73.18,73.01,73.61,73.49,73.2,73.24,73.22,73.3,73.5,73.59,73.35,73.68,73.77,73.84,73.36,72.3,73.6,73.7
Bahrain,71.68,73.41,72.68,72.15,72.31,72.66,72.95,73.59,74.01,74.49,74.96,75.32,75.73,76.16,76.57,76.75,76.8,76.76,76.98,77.03,76.34,77.29,77.41
Bangladesh,65.47,65.99,66.34,66.66,67.12,67.44,67.79,68.22,68.98,69.58,70.04,71.14,72.26,72.81,73.05,73.59,73.91,73.9,74.24,74.55,74.68,75.12,75.41
Barbados,74.74,75.22,75.07,74.89,74.91,75.24,75.4,75.55,75.77,76.09,76.16,76.24,76.48,76.5,76.48,76.51,76.54,76.54,76.46,76.2,76.21,76.43,76.56
Belarus,69.03,68.57,68.05,68.58,68.99,68.85,69.48,70.36,70.53,70.62,70.61,70.54,72.32,72.76,73.14,73.66,73.84,73.84,73.98,74.02,73.46,74.3,74.42
Belgium,78.04,78.3,78.45,78.68,79.08,79.32,79.64,79.76,79.88,80.04,80.23,80.4,80.48,80.67,81.03,81.09,81.31,81.38,81.4,81.41,80.2,81.72,81.87
Belize,69.98,70.61,71.43,71.84,72.02,72.43,72.63,73.11,73.62,73.66,73.58,73.84,74.25,74.35,74.25,74.19,74.37,74.5,74.39,74.46,72.12,74.73,74.87
Benin,57.39,57.58,57.88,58.12,58.46,58.81,59.13,59.5,60.14,60.73,61.1,61.41,61.72,62.02,62.32,62.64,63.02,63.41,63.96,64.49,64.63,65.13,65.45
Bhutan,65.74,67.1,67.68,68.16,68.64,69.05,69.47,69.9,70.28,70.55,71.0,71.32,71.61,71.85,72.08,72.29,72.52,72.73,72.95,73.17,73.33,73.77,74.06
Bolivia,66.53,67.16,67.59,68.09,68.58,68.97,69.31,69.56,69.8,70.08,70.3,70.5,70.73,70.9,71.09,71.3,71.49,71.65,71.84,72.01,69.83,72.52,72.76
Bosnia and Herzegovina,75.46,75.25,75.06,75.28,75.47,75.29,75.56,75.26,75.9,76.08,76.31,76.43,76.66,76.64,76.67,76.47,76.66,76.83,76.87,76.96,75.36,77.25,77.4
Botswana,45.52,44.99,44.94,45.69,47.52,49.93,51.39,53.41,54.67,56.06,56.98,57.75,58.62,59.43,60.09,60.62,61.22,61.51,61.84,62.25,61.65,62.53,62.6
Brazil,71.18,71.49,71.76,72.03,72.31,72.81,73.06,73.31,73.5,73.66,73.85,74.01,74.34,74.55,74.83,75.03,75.05,75.44,75.69,75.85,73.58,76.25,76.44
Brunei,72.52,72.85,72.94,72.89,72.94,73.03,73.2,73.48,73.8,73.83,73.83,73.93,74.01,73.92,73.96,73.98,74.06,74.12,74.21,74.36,74.43,74.63,74.76
Bulgaria,70.16,70.43,70.71,70.93,71.05,71.12,71.21,71.55,71.87,72.11,72.34,72.65,73.0,73.27,73.04,73.24,73.31,73.34,73.3,73.35,71.85,73.59,73.72
Burkina Faso,52.48,52.88,53.42,54.0,54.63,55.3,55.98,56.49,57.13,57.57,57.94,58.31,58.6,58.94,59.43,59.9,60.34,60.83,61.29,61.67,61.81,62.48,62.88
Burundi,44.69,45.79,46.86,47.87,49.18,50.3,54.54,55.74,56.8,57.71,58.55,59.35,60.17,60.84,61.39,61.75,62.37,62.95,63.4,63.83,63.96,64.52,64.86
Cambodia,60.36,60.94,61.55,62.21,62.9,63.68,64.46,65.17,65.89,66.45,66.87,67.38,67.87,68.24,68.59,68.88,69.15,69.41,69.66,69.9,70.02,70.35,70.55
Cameroon,54.47,54.3,54.23,54.27,54.58,54.99,55.41,55.91,56.56,57.18,57.7,58.17,58.76,59.15,59.47,60.05,60.93,61.85,62.62,63.35,63.46,64.03,64.34
Canada,79.36,79.6,79.79,79.98,80.24,80.43,80.74,80.9,81.11,81.39,81.64,81.89,82.01,82.12,82.15,82.26,82.29,82.36,82.19,82.18,81.49,82.46,82.62
Cape Verde,70.27,70.58,70.84,71.15,71.47,71.83,72.91,73.18,73.88,74.09,74.41,74.51,74.59,74.85,74.97,74.86,74.8,74.83,73.54,73.74,73.08,74.11,74.28
Central African Republic,43.79,43.94,44.21,44.53,44.83,45.21,45.58,46.07,46.83,47.39,47.81,48.27,48.76,47.46,47.48,49.67,50.32,50.41,51.54,52.35,52.42,53.06,53.35
Chad,52.25,52.52,52.63,52.81,53.17,53.73,53.86,54.79,55.23,55.97,56.5,56.85,57.31,57.76,58.26,58.75,59.25,59.53,59.91,60.38,60.52,60.98,61.28
Chile,76.93,76.99,77.37,77.44,77.56,77.89,78.2,78.38,78.72,78.63,78.61,78.96,79.17,79.31,79.49,79.63,79.97,79.98,80.07,80.16,79.1,80.46,80.63
China,71.33,71.69,72.02,72.33,72.54,72.98,73.67,74.19,74.31,74.7,74.92,75.29,75.73,76.11,76.44,76.77,76.98,77.23,77.44,77.59,77.67,77.95,78.11
Colombia,74.23,74.37,73.37,75.15,75.62,76.52,76.72,77.33,77.57,77.5,77.89,78.65,78.98,79.31,79.67,79.69,79.85,79.97,80.08,80.19,77.79,80.55,80.72
Comoros,61.41,62.22,62.53,63.29,63.75,64.07,64.39,64.55,65.25,64.85,65.9,65.69,66.33,66.72,67.22,67.54,67.86,68.17,68.46,68.73,68.81,69.16,69.38
Congo. Dem. Rep.,53.93,54.23,54.36,54.79,55.47,56.14,56.66,57.12,57.46,57.95,58.78,59.41,60.07,60.91,61.79,62.65,63.34,63.91,64.66,65.05,65.15,65.65,65.93
Congo. Rep.,53.05,54.02,54.71,55.29,56.1,56.99,57.83,58.52,59.39,60.25,60.87,61.59,61.91,62.43,62.88,63.52,64.2,64.65,65.03,65.43,65.44,65.87,66.06
Costa Rica,77.9,77.92,78.43,78.49,78.56,79.44,79.09,80.35,80.29,80.64,79.51,80.17,80.33,80.41,80.47,80.2,79.75,79.83,79.95,80.07,78.94,80.45,80.63
Cote d'Ivoire,51.13,51.46,51.74,52.11,52.65,53.46,54.43,55.33,56.3,56.96,57.39,57.81,58.81,59.42,60.16,61.07,61.97,62.81,63.59,64.25,64.41,64.93,65.23
Croatia,74.65,74.93,75.05,75.06,75.58,75.57,75.96,75.91,75.94,76.48,76.8,77.13,77.37,77.85,77.94,77.72,78.39,78.5,78.61,78.66,77.86,78.96,79.12
Cuba,77.01,77.17,77.87,77.8,77.8,77.68,78.37,78.46,78.44,78.46,78.46,79.07,78.84,78.81,78.74,78.42,78.52,78.25,78.29,78.67,78.7,78.86,78.98
Cyprus,76.66,77.06,77.33,77.69,77.88,77.93,78.16,78.35,78.77,79.12,79.52,79.85,80.14,80.3,80.36,80.45,80.67,80.84,80.81,80.81,80.81,81.11,81.26
Czech Republic,75.2,75.48,75.69,75.61,76.14,76.42,76.95,77.19,77.35,77.62,77.85,78.05,78.3,78.55,78.95,79.0,79.17,79.28,79.29,79.46,78.46,79.74,79.88
Denmark,77.16,77.29,77.41,77.67,77.99,78.34,78.53,78.68,78.97,79.21,79.52,79.94,80.25,80.52,80.8,80.99,81.03,81.06,81.09,81.13,81.23,81.4,81.55
Djibouti,60.37,60.45,60.57,60.86,60.98,61.39,61.36,62.15,62.53,62.89,63.24,63.65,64.08,64.47,64.88,65.28,65.8,66.23,66.65,66.82,66.84,67.45,67.65
